borocd,borocode,boroname,boroid,geography
484,3,Brooklyn,0,BK00
356,3,Brooklyn,0,BK00
355,3,Brooklyn,0,BK00
482,3,Brooklyn,0,BK00
301,3,Brooklyn,1,BK01
302,3,Brooklyn,2,BK02
303,3,Brooklyn,3,BK03
304,3,Brooklyn,4,BK04
405,3,Brooklyn,5,BK05
305,3,Brooklyn,5,BK05
306,3,Brooklyn,6,BK06
307,3,Brooklyn,7,BK07
308,3,Brooklyn,8,BK08
309,3,Brooklyn,9,BK09
409,3,Brooklyn,9,BK09
410,3,Brooklyn,10,BK10
310,3,Brooklyn,10,BK10
311,3,Brooklyn,11,BK11
312,3,Brooklyn,12,BK12
313,3,Brooklyn,13,BK13
314,3,Brooklyn,14,BK14
315,3,Brooklyn,15,BK15
316,3,Brooklyn,16,BK16
317,3,Brooklyn,17,BK17
318,3,Brooklyn,18,BK18
226,2,Bronx,0,BX00
227,2,Bronx,0,BX00
228,2,Bronx,0,BX00
201,2,Bronx,1,BX01
202,2,Bronx,2,BX02
203,2,Bronx,3,BX03
204,2,Bronx,4,BX04
205,2,Bronx,5,BX05
206,2,Bronx,6,BX06
209,2,Bronx,9,BX09
210,2,Bronx,10,BX10
211,2,Bronx,11,BX11
212,2,Bronx,12,BX12
164,1,Manhattan,0,M00
101,1,Manhattan,1,M01
102,1,Manhattan,2,M02
103,1,Manhattan,3,M03
104,1,Manhattan,4,M04
105,1,Manhattan,5,M05
106,1,Manhattan,6,M06
107,1,Manhattan,7,M07
207,1,Manhattan,7,M07
208,1,Manhattan,8,M08
108,1,Manhattan,8,M08
109,1,Manhattan,9,M09
110,1,Manhattan,10,M10
111,1,Manhattan,11,M11
112,1,Manhattan,12,M12
481,4,Queens,0,Q00
401,4,Queens,1,Q01
402,4,Queens,2,Q02
403,4,Queens,3,Q03
404,4,Queens,4,Q04
406,4,Queens,6,Q06
407,4,Queens,7,Q07
408,4,Queens,8,Q08
411,4,Queens,11,Q11
412,4,Queens,12,Q12
413,4,Queens,13,Q13
414,4,Queens,14,Q14
483,4,Queens,99,Q99
480,4,Queens,99,Q99
595,5,Staten Island,0,SI00
501,5,Staten Island,1,SI01
502,5,Staten Island,2,SI02
503,5,Staten Island,3,SI03
